,FID,id,Residential_300m,Commercial_300m,Av_traffic_300m,Roads_300m
175,23377,14119,255983.5821,0,3461.054122,4446.784491
176,49492,14199,0,0,1629.825732,1483.989026
177,28183,14213,39750.25929,0,0,401.5789611
178,43361,14254,8845.760073,0,282.7571459,2064.691755
179,43299,14384,0,0,0,176.5319326
180,39942,14396,28424.99222,0,63.28999939,1375.613618
181,46804,14400,23263.30778,0,0,1335.861598
182,46151,14583,235278.7139,0,1177.535773,4823.377803
183,46304,14613,79066.61266,0,5427.712385,5000.256929
184,36555,14716,80594.93896,0,0,156.4026673
185,48248,14843,208481.3859,0,236.7455362,2071.381488
186,49485,14873,244728.8479,0,126.2318638,3792.817801
187,39872,14969,63426.40167,0,4257.158082,3747.0325
188,27241,15028,241338.2805,0,3480.605216,5021.373295
189,41959,15090,262922.7049,0,406.996806,3775.929286
190,33534,15124,277109.6821,0,0,1126.831076
191,51834,15185,0,0,0,0
192,42998,15219,219516.5901,0,260.2738565,2810.815117
193,50171,15508,181242.9134,0,656.2183907,4967.964675
194,44635,15604,168031.5697,0,0,2442.210271
195,39270,15684,225935.051,0,1087.21001,4084.783895
196,47144,15709,225948.8233,0,234.0437136,4189.684587
197,45502,15795,282618.3637,0,259.8525697,3668.341996
198,50939,15870,0,0,0,431.0177818
199,48902,16267,253290.3158,0,0,1918.269027
200,39771,16388,0,0,0,639.2250309
201,49849,16797,28522.67446,0,1738.370534,2369.12448
202,48900,16869,0,0,229.6596353,1106.586517
203,51137,17051,148882.3702,0,728.0864728,2722.082727
204,44897,17057,184913.7733,0,1046.922118,3309.845497
205,44437,17134,0,0,0,1371.808842
206,50983,17140,24112.2506,0,0,1435.531349
207,45914,17234,163594.017,0,62.36134741,1993.257958
208,42573,17271,33483.124,0,0,391.5079728
209,44146,17333,0,0,0,0
210,45385,17448,61970.74084,0,0,807.3891287
211,48706,17951,252177.2566,0,256.4535937,2409.725148
212,40054,18129,51105.05819,0,495.6970749,2082.132247
213,39702,18170,145151.9288,0,519.7976566,3641.982663
214,50847,18199,11564.65915,0,634.0544027,2485.019756
215,38580,18317,164732.0617,0,0,240.8340916
216,37821,18347,230246.8237,0,24.18436717,4686.605138
217,46316,18371,211115.4527,0,820.2889929,3111.321005
218,45604,18380,0,0,0,0
219,47127,18418,274095.3314,0,113.8141619,4161.446375
220,36882,18454,160462.1833,0,61.31036793,2942.367462
221,28959,18553,282618.3637,0,271.771979,3962.502053
222,51442,18582,231882.431,0,843.3874527,3762.938128
223,49760,18601,59896.11874,0,1193.96964,3140.382312
224,44219,18701,260994.8715,0,191.9632021,4352.85837
225,49393,18738,0,0,0,23.89188453
226,42152,18755,77107.16356,0,1788.422696,4975.320237
227,40928,18845,97295.72736,0,0,866.2598103
228,40612,18857,96203.46357,0,169.2143266,4684.283785
229,37871,18901,0,0,60.01379397,1075.40472
230,41883,18966,188218.8518,0,446.0975476,3819.10145
231,33015,18973,235681.7568,0,1760.698631,3915.804434
232,43713,19352,282618.3637,0,121.8905,3524.187434
233,42095,19353,0,0,0,534.8089581
234,23562,19431,220487.9116,0,797.5796991,3807.067019
235,44284,19449,168401.4051,0,23.32848754,2084.20714
236,47386,19532,134264.3895,0,900.9686043,2704.463618
237,42918,19576,0,0,11.02093045,1079.361479
238,37739,19658,116110.0032,0,982.5448604,3369.362543
239,48154,19770,255234.4714,0,26.83783549,4852.049765
240,30388,19800,151434.4748,0,695.1994708,2404.443128
241,18755,19813,77968.63956,0,2314.247853,2434.943095
242,215,19894,99896.0368,0,4542.756624,3599.606338
243,44747,19901,0,0,0,93.78652051
244,40372,19906,136550.5099,0,249.6876262,897.0000611
245,40725,20053,0,0,0,0
246,49689,20113,121678.3607,0,23.86342705,1066.929967
247,45499,20207,15166.9101,0,596.3098261,3120.8075
248,29610,20212,0,0,13.41158381,814.0417036
249,47985,20256,0,0,0,897.7323777
250,42761,20422,140675.7177,0,470.6561321,2868.912968
251,30367,20472,0,0,0,484.9688852
252,41728,20543,0,0,0,0
253,47049,20663,217681.19,0,843.6786214,2933.61568
254,38755,20680,220945.0955,0,306.3153325,2935.93962
255,39724,20727,248300.7182,0,1385.374943,3838.896413
256,43258,20750,171216.7439,60412.96391,2095.370969,4689.920504
257,43578,20911,0,0,0,0
258,51749,20962,0,0,0,332.7572973
259,46855,20965,0,0,0,0
260,50758,21041,80059.8722,0,2194.957196,4859.864901
261,37710,21046,86373.80103,5340.650914,3947.616159,3005.655779
262,43275,21077,113142.0606,0,806.053872,3940.165513
263,44602,21083,0,0,15.99459535,1190.956371
264,47875,21135,200098.7743,0,1170.0137,4565.42921
265,46265,21148,7549.656467,0,392.9747565,1492.678314
266,44438,21156,0,0,19.33536017,928.0372453
267,51602,21242,138485.3898,0,1841.868484,4621.806818
268,14843,21275,90379.20906,0,1604.11316,4226.864991
269,42752,21282,255305.9127,0,0,2629.922071
270,37560,21295,11348.50488,0,303.6424448,1118.83037
271,50966,21311,259270.9578,0,131.267952,2595.137161
272,22521,21317,35103.10782,0,0,0
273,30618,21328,126692.5071,0,273.3104674,1353.956187
274,50479,21433,239106.0524,0,584.8593971,3610.17691
275,48962,21478,261821.7734,0,656.7290119,3230.133494
276,38271,21617,7880.835567,0,6307.910648,3220.839957
277,40802,21712,0,0,26.01741275,1051.972199
278,37362,21865,64981.88196,0,5398.125036,4630.686827
279,21275,21870,0,0,0,0
280,46034,21881,207602.3579,0,180.425513,2395.046532
281,44446,21899,0,0,0,417.1343348
282,38741,22048,202223.1231,0,608.8610419,4711.008254
283,40424,22090,95338.95725,0,0,0
284,51495,22094,185919.452,0,147.6208387,3835.643247
285,43092,22119,0,0,0,224.961845
286,41741,22171,0,0,0,0
287,41135,22199,258176.1524,24442.21126,32.63220879,4673.30339
288,48865,22293,40820.57063,0,1546.763518,2183.081325
289,40597,22298,62599.26797,0,1177.160627,3407.661633
290,49756,22494,102895.2185,0,142.1547944,1993.382902
291,33301,22499,27702.50936,0,458.02164,851.9979033
292,47998,22521,16.27901104,0,178.7995537,1502.807792
293,39450,22525,13405.11991,0,1620.944081,1211.258112
294,41774,22553,148249.6867,0,16040.98396,7867.880962
